nutrition,value,measure,food_product,pr_daily_norm
"Vitamin A, RAE",8.0,UG,beef rib,0.8888888888888888
Vitamin D (D2 + D3),0.2,UG,beef rib,1.0
"Vitamin C, total ascorbic acid",0.0,MG,beef rib,0.0
Thiamin,0.03,MG,beef rib,2.5
Riboflavin,0.09,MG,beef rib,6.9230769230769225
Vitamin B-12,1.17,UG,beef rib,48.75
Cholesterol,57.0,MG,beef rib,19.0
"Fatty acids, total saturated",2.45,G,beef rib,12.250000000000002
Total lipid (fat),6.78,G,beef rib,8.692307692307692
"Carbohydrate, by difference",0.0,G,beef rib,0.0
"Calcium, Ca",15.0,MG,beef rib,1.153846153846154
"Potassium, K",337,MG,beef rib,7.170212765957447
"Zinc, Zn",3.95,MG,beef rib,35.909090909090914
"Selenium, Se",2.9,UG,beef rib,5.2727272727272725
Vitamin E (alpha-tocopherol),0.74,MG,beef rib,4.933333333333334
Niacin,4.31,MG,beef rib,26.937499999999996
Pantothenic acid,0.293,MG,beef rib,5.86
Vitamin B-6,0.255,MG,beef rib,15.0
"Selenium, Se",17.7,UG,beef shank,32.18181818181818
Protein,21.8,G,beef shank,43.6
"Fiber, total dietary",0.0,G,beef shank,0.0
"Iron, Fe",2.32,MG,beef shank,12.88888888888889
"Magnesium, Mg",14.0,MG,beef shank,3.3333333333333335
"Phosphorus, P",204,MG,beef shank,16.32
"Sodium, Na",63.0,MG,beef shank,2.7391304347826084
"Copper, Cu",0.071,MG,beef shank,7.888888888888888
"Manganese, Mn",0.014,MG,beef shank,0.6086956521739131
"Vitamin C, total ascorbic acid",0.0,MG,beef shank,0.0
Thiamin,0.1,MG,beef shank,8.333333333333334
Riboflavin,0.22,MG,beef shank,16.92307692307692
Vitamin B-12,3.33,UG,beef shank,138.75000000000003
Cholesterol,39.0,MG,beef shank,13.0
"Fatty acids, total saturated",1.28,G,beef shank,6.4
